name,sex,bearers,tanach_spelling,suggested,occurrences,other_options,KEEP?
ציפה,F,85,צפה,צִפָּה,7,צֹפֶה | צָפֹה | צַפֵּה,
טויבה,F,84,טובה,טוֹבָה,49,טוּבָהּ,
לינס,F,84,לנס,לְנֵס,3,לָנֻס,
נורי,F,83,נרי,נֵרִי,1,,
ליחי,M,83,לחי,לֶחִי,4,לַחַי | לְחִי | לֶחָי,
אומה,F,82,אמה,אַמָּה,85,אִמָּהּ | אָמָה | אֻמָּה,
ויולט,F,82,וילט,וַיָּלֶט,1,,
איזי,M,80,אזי,אֲזַי,3,,
חווה,F,78,חוה,חַוָּה,2,,
גורי,M,75,גרי,גָּרֵי,1,,
מומי,M,75,ממי,מִמִּי,3,מִמֵּי,
אורייה,F,75,אוריה,אוּרִיָּה,34,,
ליא,F,74,לא,לֹא,3238,לָא,
רודי,M,73,רדי,רְדִי,2,רַדַּי,
נאווה,F,72,נאוה,נָאוָה,4,נָאוֶה | נַאֲוָה,
עונג,F,71,ענג,עֹנֶג,2,,
תרין,F,71,תרן,תֹּרֶן,1,,
בושמת,F,69,בשמת,בָּשְׂמַת,6,בְשֵׁמֹת,
מודי,M,68,מדי,מִדֵּי,14,מָדַי | מָדָי,
שמעונה,F,66,שמענה,שְׁמַעְנָה,2,שְׁמָעֶנָּה,
מולי,M,65,מלי,מִלָּי,5,מִלֵּי,
מיאה,F,65,מאה,מֵאָה,100,מְאָה,LIKELY NO
נוריה,F,64,נריה,נֵרִיָּה,7,,
קאיה,F,64,קאה,קָאָה,1,,
ניקי,M,63,נקי,נָקִי,24,נְקִי,
מיכלי,F,63,מכלי,מִכְּלֵי,2,מִכְּלִי,
גיה,F,61,גה,גֵּה,1,,
ניה,F,61,נה,נֹהַּ,1,,
קייט,F,61,קיט,קַיִט,1,,
שלווה,F,61,שלוה,שַׁלְוָה,1,,
אושריאל,M,60,אשריאל,אַשְׂרִיאֵל,2,,
פורת,F,59,פרת,פְּרָת,14,פֹּרָת,
נוב,F,59,נב,נֹב,2,,
בירן,M,59,ברן,בְּרָן,1,,
רזיה,F,59,רזה,רָזָה,7,,
ליעם,F,57,לעם,לָעָם,51,לְעָם | לְעַם,
נוח,M,57,נח,נֹחַ,41,,
רועה,M,57,רעה,רָעָה,128,רֹעֶה | רֹעֵה | רֹעָה,
קליה,F,56,קלה,קֹלָהּ,1,קַלָּה,
דותן,F,53,דתן,דָּתָן,5,,
שימעון,M,52,שמעון,שִׁמְעוֹן,36,,
צפיה,F,52,צפה,צִפָּה,7,צֹפֶה | צָפֹה | צַפֵּה,
איילי,F,51,אילי,אֵילֵי,4,,
ניתן,M,50,נתן,נָתַן,185,נֹתֵן | נָתָן | נִתַּן,
פיטר,M,50,פטר,פֶּטֶר,10,פָטַר,
נובה,F,50,נבה,נֹבֶה,2,,
ביאנה,F,49,באנה,בֹּאָנָה,2,,
לויה,F,49,לוה,לֹוֶה,2,,
מורית,F,49,מרית,מָרִיתָ,1,,
ויוי,F,48,ווי,וָוֵי,6,,
סלים,M,47,סלם,סֻלָּם,1,,
רואי,F,45,ראי,רֹאִי,6,רְאִי | רֹאַי | רֳאִי,
גון,F,45,גן,גַּן,6,,
נעמית,F,45,נעמת,נָעַמְתָּ,1,נָעָמְתָּ | נָּעַמְתְּ,
עיברי,M,44,עברי,עִבְרִי,8,עֹבְרֵי | עָבְרִי | עֲבֹרִי,
אייבי,M,42,איבי,אֹיְבַי,16,אֹיְבִי | אֹיְבֵי | אֹיְבָי,
אדירה,F,42,אדרה,אַדָּרָה,1,,
לאיה,F,40,לאה,לֵאָה,28,,
ליילה,F,40,לילה,לַיְלָה,49,לָיְלָה,
עטיה,F,40,עטה,עֹטֶה,2,עָטֹה,
דון,F,39,דן,דָן,59,,
ליים,F,39,לים,לַיָּם,5,לְיַם,
נהורי,M,39,נהרי,נַהֲרֵי,1,,
דיין,M,35,דין,דִּין,14,,
ניבר,F,34,נבר,נָבָר,2,,
איתיי,M,33,איתי,אִיתַי,13,,
ליו,F,33,לו,לוֹ,1119,לוּ,
טובאל,M,32,טבאל,טָבְאַל,1,טָבְאֵל,
קולין,F,32,קולן,קוֹלָן,2,,
נרייה,M,31,נריה,נֵרִיָּה,7,,
נביעה,F,31,נבעה,נִבְעֶה,1,,
פולט,F,31,פלט,פָּלֶט,2,פַלֵּט | פַּלֶּט,
נופך,F,30,נפך,נֹפֶךְ,3,,
בנייה,M,21,בניה,בָּנֶיהָ,15,בְּנָיָה,
אדור,M,19,אדר,אֲדָר,9,אַדָּר | אֶדֶר,
תומא,M,19,תמא,תֵּמָא,1,,
מיאור,F,14,מאור,מֵאוּר,3,מָאוֹר | מְאוֹר | מֵאוֹר,
רוגל,M,11,רגל,רֶגֶל,13,רָגֶל | רֹגֵל | רָגַל,
בובי,M,10,בבי,בֵּבָי,5,בֵבַי,
מון,F,9,מן,מִן,692,מָן | מַן,
ביריה,F,8,בריה,בִרְיָה,1,,
עשורה,F,5,עשרה,עֶשְׂרֵה,134,עֲשָׂרָה | עַשְׂרָה,
