name,sex,bearers,VOCALIZED,notes
סימה,F,4725,סִימָה,confident
אילנית,F,4710,אִילָנִית,confident
סתיו,F,4660,סְתָיו,confident
אביחי,M,4564,אֲבִיחַי,confident
אירית,F,4535,אִירִית,confident
אלינור,F,4513,אֱלִינוֹר,ambiguous: Hebrew אֱלִינוֹר vs foreign Eleanor אֵלִינוֹר
סיגלית,F,4431,סִיגָלִית,confident
יסמין,F,4326,יַסְמִין,confident
ליאורה,F,4313,לִיאוֹרָה,confident
אדוה,F,4207,אַדְוָה,confident
אורין,F,4138,אוֹרִין,confident
אודליה,F,4096,אוֹדֶלְיָה,uncertain: modern coinage; also אוֹדְלִיָּה
פיגא,F,4020,פֵיגֶא,ambiguous: Yiddish Feyge — written פֵיגֶא / פֵיגָא / פֵּיגֶא in Hebrew documents
רמי,M,3939,רָמִי,confident
לירז,F,3882,לִירָז,confident
מרגלית,F,3858,מַרְגָּלִית,confident
קורל,F,3813,קוֹרַל,uncertain: foreign (Coral); also קוֹרָל
קארין,F,3803,קָארִין,uncertain: foreign (Karin); nikud on א is conventional only
נילי,F,3561,נִילִי,confident
רחלי,F,3522,רָחֵלִי,confident
אריאלה,F,3378,אֲרִיאֵלָה,confident
הילי,F,3320,הִילִי,uncertain: modern coinage; also הִלִּי under defective spelling
אודל,F,3279,אוֹדֶל,ambiguous: Yiddish Udl/Odl — אוּדֶל / אוֹדֶל
אלונה,F,3277,אַלּוֹנָה,confident
יוחאי,M,3258,יוֹחַאי,confident
ליהיא,F,3151,לִיהִיא,"uncertain: modern coinage, unusual final א"
גיטל,F,3126,גִּיטֶל,confident
אוריאן,F,3047,אוֹרִיאָן,uncertain: modern coinage; also אוֹרִיאַן
ניקול,F,3046,נִיקוֹל,"uncertain: foreign (Nicole), no fixed nikud norm"
כרמית,F,3031,כַּרְמִית,confident
עמיחי,M,3010,עַמִּיחַי,confident
ארבל,F,2986,אַרְבֵּל,confident
אלמה,F,2985,אַלְמָה,"ambiguous: Hebrew variant of עַלְמָה pointed אַלְמָה, or Latin Alma אָלְמָה"
אלרואי,M,2927,אֶלְרוֹאִי,confident
אושרת,F,2877,אוּשְׁרַת,uncertain: also pointed אוֹשְׁרַת; underlying noun is אֹשֶׁר
אלמוג,F,2797,אַלְמוֹג,confident
שניאור,M,2752,שְׁנֵיאוֹר,confident
רותי,F,2751,רוּתִי,confident
צחי,M,2705,צַחִי,uncertain: hypocoristic (of יצחק); also צָחִי
זיוה,F,2650,זִיוָה,confident
אנאל,F,2609,אַנָּאֵל,uncertain: modern coinage; also אֲנָאֵל
עירית,F,2548,עִירִית,confident
שרונה,F,2546,שָׁרוֹנָה,confident
עקיבא,M,2412,עֲקִיבָא,confident
עידית,F,2390,עִידִית,confident
יולי,F,2387,יוּלִי,ambiguous: יוּלִי (Yuli/July) / יוֹלִי
יוגב,M,2383,יוֹגֵב,confident
ירין,F,2362,יָרִין,confident
סגלית,F,2245,סִגָּלִית,uncertain: defective spelling; plene form is סִיגָלִית
מוטי,M,2229,מוֹטִי,confident
ורדה,F,2228,וַרְדָּה,confident
כוכבה,F,2199,כּוֹכָבָה,confident
שירז,F,2159,שִׁירָז,confident
קובי,M,2121,קוֹבִּי,confident
מיכאלה,F,2110,מִיכָאֵלָה,confident
אושרית,F,2096,אוֹשְׁרִית,confident
דורין,F,2046,דּוֹרִין,confident
דריה,F,2042,דַּרְיָה,uncertain: foreign (Daria); also דָּרִיָּה
צליל,F,2006,צְלִיל,confident
בלומה,F,2001,בְּלוּמָה,confident
ירדנה,F,1991,יַרְדֵּנָה,confident
אביבית,F,1979,אֲבִיבִית,confident
לילי,F,1973,לִילִי,confident
רון,F,1954,רוֹן,confident
ליאו,M,1935,לֵיאוֹ,uncertain: foreign (Leo); also לִיאוֹ
נירית,F,1874,נִירִית,confident
לורן,F,1872,לוֹרֶן,uncertain: foreign (Lauren/Loren); also לוֹרַן
אליאן,F,1866,אֶלִיאָן,uncertain: modern coinage/foreign; also אֱלִיאָן
שגית,F,1839,שָׂגִית,confident
רפי,M,1794,רָפִי,confident
חני,F,1718,חַנִּי,confident
הרצל,M,1715,הֶרְצֶל,confident
אלכסנדר,M,1682,אֲלֶכְּסַנְדֶּר,uncertain: conventional pointing only; also אַלֶכְּסַנְדֶּר
לירי,F,1620,לִירִי,confident
פרידה,F,1617,פְרִידָה,ambiguous: Yiddish Frida — פְרִידָה / פְרֵידָה
גולדה,F,1600,גּוֹלְדָּה,confident
הינדא,F,1599,הִינְדָא,uncertain: Yiddish Hinde; Hebrew documents also write הִינְדֶא
תמרה,F,1599,תָּמָרָה,confident
לני,F,1588,לֶנִי,uncertain: foreign (Leni/Lenny); no fixed norm
דנית,F,1546,דָּנִית,confident
עמנואל,F,1541,עִמָּנוּאֵל,confident
סהר,F,1525,סַהַר,confident
שחף,F,1518,שַׁחַף,confident
ענהאל,F,1518,עִנְהָאֵל,"uncertain: recent coinage, no settled vocalization"
שיינא,F,1513,שֵׁיינָא,ambiguous: Yiddish Sheyne — שֵׁיינָא / שֵׁינָא / שֵׁיינֶא
שגב,M,1501,שֶׂגֶב,confident
דגנית,F,1496,דְּגָנִית,confident
מאירה,F,1491,מְאִירָה,confident
אליס,F,1400,אָלִיס,uncertain: foreign (Alice); also אֶלִיס
לוטם,F,1395,לוֹטֶם,confident
שגיב,M,1390,שָׂגִיב,confident
לינור,F,1365,לִינוֹר,confident
איציק,M,1339,אִיצִיק,confident
ויקטוריה,F,1310,וִיקְטוֹרְיָה,uncertain: foreign; conventional pointing only
בת חן,F,1307,בַּת חֵן,confident
זהבית,F,1306,זְהָבִית,confident
חופית,F,1287,חוֹפִית,confident
מתנאל,M,1265,מַתַּנְאֵל,uncertain: variant spelling of נְתַנְאֵל; also מַתְנְאֵל
פזית,F,1258,פַּזִּית,confident
אורנית,F,1246,אוֹרְנִית,confident
לירן,F,1222,לִירָן,confident
שיינדל,F,1204,שֵׁיינְדֶל,ambiguous: Yiddish Sheyndl — שֵׁיינְדֶל / שֵׁינְדֶל
נינה,F,1202,נִינָה,confident
רייזל,F,1201,רֵייזֶל,ambiguous: Yiddish Reyzl — רֵייזֶל / רֵיזֶל
אליעד,M,1197,אֱלִיעָד,confident
שבתאי,M,1169,שַׁבְּתַאי,confident
ליז,F,1155,לִיז,uncertain: foreign (Liz)
רזיאל,M,1115,רָזִיאֵל,confident
דיאנה,F,1112,דִּיאָנָה,uncertain: foreign (Diana); conventional pointing only
אביגדור,M,1109,אֲבִיגְדוֹר,confident
אודי,M,1107,אוּדִי,confident
זואי,F,1066,זוֹאִי,uncertain: foreign (Zoe); no fixed norm
דורון,F,1052,דּוֹרוֹן,confident
עירן,M,1052,עִירָן,uncertain: variant spelling of ערן; also עֵירָן
יוטא,F,1041,יוּטָא,uncertain: Yiddish Yuta/Yutte; also יוּטֶא
אמיליה,F,1038,אֶמִילְיָה,uncertain: foreign (Emilia); conventional pointing only
גבריאלה,F,1025,גַּבְרִיאֵלָה,confident
פערל,F,1025,פֶּערְל,ambiguous: Yiddish Perl — Hebrew documents write פֶּערְל / פֶּרְל
יניר,M,1015,יָנִיר,confident
אבירן,M,985,אֲבִירָן,confident
שרגא,M,970,שְׁרָגָא,confident
לייה,F,966,לֵייָה,uncertain: variant spelling of לֵאָה; vocalization of the doubled י is unsettled
איימי,F,964,אֵיימִי,uncertain: foreign (Amy); no fixed norm
אסתי,F,949,אֶסְתִּי,confident
ויקי,F,910,וִיקִי,uncertain: foreign (Vicky)
אליענה,F,907,אֱלִיעָנָה,confident
פריאל,F,902,פְּרִיאֵל,confident
טופז,F,900,טוֹפָז,confident
דרורה,F,879,דְּרוֹרָה,confident
בתאל,F,835,בַּתְאֵל,confident
ריף,F,815,,unknown
פסיה,F,809,פֶּסְיָה,ambiguous: Yiddish Pesye — פֶּסְיָה / פֶּסְיָא / פֵּיסִיָּה
מרק,M,806,מַרְק,uncertain: foreign (Mark/Marc)
אלכס,F,789,אָלֶכְּס,uncertain: foreign (Alex); also אַלֶכְּס
סימונה,F,782,סִימוֹנָה,confident
ורדית,F,773,וַרְדִּית,confident
שנהב,F,760,שֶׁנְהָב,confident
אורפז,F,737,אוֹרְפָּז,confident
נאיה,F,724,נָאיָה,uncertain: modern coinage; also נַאיָה / נָאיָּה
קורין,F,724,קוֹרִין,uncertain: foreign (Corinne/Koren)
חביבה,F,718,חֲבִיבָה,confident
אליזבט,F,715,אֱלִיזָבֶּט,uncertain: foreign (Elizabeth); conventional pointing only
בטי,F,715,בֶּטִי,uncertain: foreign (Betty)
קטי,F,714,קֵטִי,uncertain: foreign (Katie/Kathy); also קָטִי
