name,sex,bearers,tanach_spelling,suggested,occurrences,other_options,KEEP?
עמירם,M,989,עמרם,עַמְרָם,13,,yes
אושרה,F,982,אשרה,אֲשֵׁרָה,3,,no
עדית,F,889,עדת,עֲדַת,42,עֲדָת,no
לידור,F,869,לדור,לְדוֹר,10,לָדוֹר | לַדּוֹר,no
ציפי,F,811,צפי,צְפִי,1,,no
שולה,F,770,שלה,שִׁלֹה,9,שֵׁלָה | שְׁלֵה,no
סופי,F,754,ספי,סִפִּי,1,סִפַּי,no
חושן,F,744,חשן,חֹשֶׁן,3,,no
תומר,F,737,תמר,תָּמָר,22,תַּמֵּר | תֹּמֶר,no
עוזיאל,M,716,עזיאל,עֻזִּיאֵל,8,,yes
עידן,F,715,עדן,עֵדֶן,11,עֶדֶן | עִדָּן | עֲדֶן,no
רוזה,F,684,רזה,רָזָה,7,,no
פריידא,F,657,פרידא,פְרִידָא,1,,no
חביב,M,597,חבב,חֹבֵב,1,חֹבָב,uncertain
נסיה,F,584,נסה,נִסָּה,2,נָסָה | נְסָה,no
יוספה,F,576,יספה,יָסְפָה,1,,no
אמירה,F,573,אמרה,אָמְרָה,15,,no
שיה,F,538,שה,שֶׂה,22,שֵׂה,no
ירחמיאל,M,534,ירחמאל,יְרַחְמְאֵל,7,,yes
שביט,F,515,שבט,שֵׁבֶט,60,שָׁבֶט | שְׁבָט,no
לינדה,F,511,לנדה,לְנִדָּה,3,,no
ארייה,F,510,אריה,אַרְיֵה,20,,uncertain
ניבה,F,505,נבה,נֹבֶה,2,,no
סוניה,F,501,סונה,סְוֵנֵה,2,,no
משולם,M,489,משלם,מְשֻׁלָּם,17,מְשַׁלֵּם,yes
נעומי,F,458,נעמי,נָעֳמִי,19,,yes
מילכה,F,451,מלכה,מַלְכָּהּ,11,מִלְכָּה,yes
ארין,F,433,ארן,אֲרֹן,5,אֹרֶן,no
רוזי,F,431,רזי,רָזִי,2,,no
שילי,F,427,שלי,שֶׁלִּי,2,,no
לידר,F,423,לדר,לְדֹר,16,,no
עיליי,M,417,עילי,עִילַי,1,,uncertain
מימון,M,416,מימן,מִיָּמִן,1,,no
שושי,F,403,ששי,שֵׁשַׁי,3,שִׁשִּׁי | שָׁשַׁי,no
דיויד,M,395,דויד,דָּוִיד,251,,yes
שילה,F,384,שלה,שִׁלֹה,9,שֵׁלָה | שְׁלֵה,no
עמיקם,M,381,עמקם,עִמְקָם,1,,no
מיי,F,378,מי,מִי,333,מֵי,no
פרחיה,F,375,פרחה,פָּרָחָה,2,פִּרְחָהּ | פָּרְחָה,no
ירוחם,M,372,ירחם,יְרֹחָם,10,יְרַחֵם | יְרֻחַם | יְרֻחָם,yes
בילה,F,368,בלה,בִּלָּה,1,,no
ליאב,F,357,לאב,לְאָב,12,לְאַב,no
מידן,M,348,מדן,מִדָּן,8,מְדָן,no
ניקה,F,347,נקה,נִקָּה,2,נָקֹה,no
ליגל,F,343,לגל,לַגָּל,1,,no
שירית,F,342,שירת,שִׁירַת,1,,no
עופר,F,330,עפר,עָפָר,38,עֲפַר,no
עיינה,F,330,עינה,עֵינָהּ,1,,no
רוז,F,319,רז,רָז,1,,no
שוקי,M,317,שקי,שַׂקִּי,1,,no
אושרי,F,314,אשרי,אַשְׁרֵי,36,אֲשֻׁרָי | אֲשֻׁרַי | אַשֻּׁרִי,no
רווה,M,312,רוה,רָוֶה,2,רַוֵּה,no
ליעוז,M,307,לעוז,לָעוֹז,1,,no
נהורה,F,307,נהרה,נַהֲרָה,13,נְהָרָה,no
איילון,M,304,אילון,אַיָּלוֹן,6,אֵילוֹן,yes
שריי,F,303,שרי,שָׂרֵי,132,שָׂרַי | שָׂרָי,no
גנית,F,300,גנת,גִּנַּת,3,,no
זבולון,M,290,זבולן,זְבוּלֻן,25,,yes
איליה,M,285,אילה,אַיָּלָה,1,,no
אריאה,F,259,אראה,אֶרְאֶה,22,אֵרָאֶה,no
ליבה,F,251,לבה,לִבָּהּ,6,,no
קורן,F,245,קרן,קֶרֶן,14,קָרַן | קָרֶן,no
שירין,F,242,שרין,שִׂרְיֹן,1,שְׁרַיִן,no
רימון,F,241,רמון,רִמּוֹן,16,,uncertain
פיני,M,238,פני,פְּנֵי,276,פָּנַי | פָּנָי | פָּנָיַ,no
סולי,F,235,סלי,סַלֵּי,1,סַלָּי,no
חובב,M,232,חבב,חֹבֵב,1,חֹבָב,uncertain
אילונה,F,224,אילנה,אַיָּלֹנָה,1,,uncertain
מסעוד,M,219,מסעד,מִסְעָד,1,,no
לידן,M,216,לדן,לְדָן,2,,no
גולדי,F,216,גלדי,גִלְדִּי,1,,no
נוהר,F,207,נהר,נְהַר,18,נָהָר,no
קרנית,F,205,קרנת,קַרְנֹת,5,,no
שינא,F,201,שנא,שֹׂנֵא,6,שָׂנֵא | שְׂנֹא | שָׂנֹא,no
שונית,F,200,שנית,שֵׁנִית,31,,no
ריקה,F,199,רקה,רֵקָה,1,,no
עומרי,F,196,עמרי,עָמְרִי,17,,uncertain
איליי,F,192,אילי,אֵילֵי,4,,no
שימי,M,192,שמי,שְׁמִי,55,שַׁמַּי | שְׁמֵי | שִׂמִי,no
רובי,F,188,רבי,רַבֵּי,1,רַבִּי,no
נוית,F,186,נות,נְוֺת,1,נְוַת,no
עילית,F,181,עלית,עָלִיתָ,6,עֲלִיַּת | עָלִית | עִלִּית,no
ליבת,F,177,לבת,לְבַת,11,,no
צורית,F,177,צורת,צוּרַת,1,,no
בילי,F,176,בלי,בְּלִי,24,,no
היאלי,F,176,האלי,הָאֱלִי,1,,no
אירן,F,172,ארן,אֲרֹן,5,אֹרֶן,no
מרוה,F,171,מרה,מָרָה,8,מֹרֶה,no
נדיר,M,164,נדר,נֶדֶר,18,נֵדֶר | נָדַר | נָדָר,no
עמירה,F,164,עמרה,עֲמֹרָה,9,,no
איידי,F,163,אידי,אֵידִי,2,,no
יעיש,M,162,יעש,יַעַשׂ,1,,uncertain
דניה,F,162,דנה,דְּנָה,53,דָּנָה,no
עשירה,F,162,עשרה,עֶשְׂרֵה,134,עֲשָׂרָה | עַשְׂרָה,no
אומרי,M,153,אמרי,אִמְרֵי,18,אִמְרִי | אֲמָרָי | אֱמֹרִי,uncertain
שאולי,M,152,שאלי,שַׁאֲלִי,3,,no
צוריה,F,148,צריה,צְרֻיָה,3,צִרֶיהָ | צָרֶיהָ,uncertain
גילית,F,146,גילת,גִּילַת,1,,no
אמליה,F,145,אמלה,אֲמֻלָה,1,,no
אינס,F,141,אנס,אֹנֵס,1,אָנֵס,no
אימרי,F,136,אמרי,אִמְרֵי,18,אִמְרִי | אֲמָרָי | אֱמֹרִי,no
מוני,M,135,מני,מִנִּי,40,מֶנִּי | מִנֵּי | מַנִּי,no
כינרת,F,133,כנרת,כִּנֶּרֶת,2,,no
ישורון,M,131,ישרון,יְשֻׁרוּן,2,,yes
טובית,F,131,טובת,טוֹבַת,6,,no
רומן,M,129,רמן,רִמֹּן,2,,no
נעימה,F,128,נעמה,נַעֲמָה,4,נָעֵמָה,yes
נדיה,F,127,נדה,נִדָּה,7,נֵדֶה,no
נתניאל,M,125,נתנאל,נְתַנְאֵל,10,,yes
תומאס,M,125,תמאס,תִּמְאָס,2,תִמָּאֵס | תִמְאַס,no
גלבוע,M,124,גלבע,גִּלְבֹּעַ,2,,no
אחווה,F,124,אחוה,אֲחַוֶּה,2,,no
ליבר,F,121,לבר,לְבַר,1,,no
יוראי,M,119,יראי,יִרְאֵי,11,,no
רמית,F,118,רמת,רָמֹת,14,רָמַת,no
שון,F,115,שן,שֵׁן,17,שָׁן | שַׁן | שֶׁן,no
אידן,M,115,אדן,אֲדָן,1,אַדָּן,no
שיאל,F,114,שאל,שְׁאַל,13,שָׁאַל | שֹׁאֵל | שָׁאָל,no
קמיל,F,111,קמל,קָמַל,1,,no
גוליה,F,110,גולה,גוֹלָה,7,גּוֹלֶה,no
סגולה,F,108,סגלה,סְגֻלָּה,6,,no
אהוביה,M,107,אהביה,אֹהֲבֶיהָ,2,,no
איתנה,F,107,אתנה,אֶתְּנָה,3,אֹתָנָה | אַתֵּנָה,no
דונה,F,103,דנה,דְּנָה,53,דָּנָה,no
עקיבה,M,101,עקבה,עֲקֻבָּה,1,,no
תומס,M,101,תמס,תֶּמֶס,1,,no
דוברת,F,101,דברת,דִּבַּרְתָּ,40,דִּבְרַת | דָּבְרַת | דֹּבְרֹת,no
גומא,M,100,גמא,גֹּמֶא,3,,no
תור,M,100,תר,תֹּר,3,,no
ביתיה,F,100,ביתה,בֵּיתָהּ,23,בָּיְתָה | בַּיְתָה | בַיְתֵהּ,no
ליהן,F,100,להן,לָהֶן,14,לָהֵן,no
אייל,F,99,איל,אַיִל,22,אֵיל | אַיָּל | אֱיָל,no
ריעות,F,98,רעות,רָעוֹת,18,רֹעוֹת,no
אודם,F,97,אדם,אָדָם,344,אֱדֹם | אֹדֶם | אָדֹם,no
עטיא,F,96,עטא,עֵטָא,1,,no
צילי,F,96,צלי,צְלִי,2,צָלִי,no
צוק,M,95,צק,צַק,1,,no
תניה,F,95,תנה,תְּנָה,24,,no
לירום,M,93,לרום,לָרוּם,2,,no
מתיתיהו,M,93,מתתיהו,מַתִּתְיָהוּ,1,,yes
ציביה,F,93,צביה,צִבְיָה,4,צֹבֶיהָ,uncertain
מליה,F,91,מלה,מִלָּה,2,,no
יוטה,F,90,יטה,יֻטָּה,1,יַטֶּה | יִטֶּה,no
ליליה,F,90,לילה,לַיְלָה,49,לָיְלָה,no
רומיה,F,90,רומה,רוּמָה,5,רוּמֵהּ | רוֹמָה,no
תומי,M,89,תמי,תֻּמִּי,1,,no
אתיה,F,88,אתה,אַתָּה,481,אֹתָהּ | אָתָּה | אִתָּהּ,no
גיליה,F,86,גילה,גִּילָה,1,,no
ציפה,F,85,צפה,צִפָּה,7,צֹפֶה | צָפֹה | צַפֵּה,no
טויבה,F,84,טובה,טוֹבָה,49,טוּבָהּ,no
לינס,F,84,לנס,לְנֵס,3,לָנֻס,no
נורי,F,83,נרי,נֵרִי,1,,no
ליחי,M,83,לחי,לֶחִי,4,לַחַי | לְחִי | לֶחָי,no
אומה,F,82,אמה,אַמָּה,85,אִמָּהּ | אָמָה | אֻמָּה,no
ויולט,F,82,וילט,וַיָּלֶט,1,,no
איזי,M,80,אזי,אֲזַי,3,,no
חווה,F,78,חוה,חַוָּה,2,,yes
גורי,M,75,גרי,גָּרֵי,1,,no
מומי,M,75,ממי,מִמִּי,3,מִמֵּי,no
אורייה,F,75,אוריה,אוּרִיָּה,34,,yes
ליא,F,74,לא,לֹא,3238,לָא,no
רודי,M,73,רדי,רְדִי,2,רַדַּי,no
נאווה,F,72,נאוה,נָאוָה,4,נָאוֶה | נַאֲוָה,no
עונג,F,71,ענג,עֹנֶג,2,,no
תרין,F,71,תרן,תֹּרֶן,1,,no
בושמת,F,69,בשמת,בָּשְׂמַת,6,בְשֵׁמֹת,yes
מודי,M,68,מדי,מִדֵּי,14,מָדַי | מָדָי,no
שמעונה,F,66,שמענה,שְׁמַעְנָה,2,שְׁמָעֶנָּה,no
מולי,M,65,מלי,מִלָּי,5,מִלֵּי,no
מיאה,F,65,מאה,מֵאָה,100,מְאָה,no
נוריה,F,64,נריה,נֵרִיָּה,7,,yes
קאיה,F,64,קאה,קָאָה,1,,no
ניקי,M,63,נקי,נָקִי,24,נְקִי,no
מיכלי,F,63,מכלי,מִכְּלֵי,2,מִכְּלִי,no
גיה,F,61,גה,גֵּה,1,,no
ניה,F,61,נה,נֹהַּ,1,,no
קייט,F,61,קיט,קַיִט,1,,no
שלווה,F,61,שלוה,שַׁלְוָה,1,,no
אושריאל,M,60,אשריאל,אַשְׂרִיאֵל,2,,uncertain
פורת,F,59,פרת,פְּרָת,14,פֹּרָת,no
נוב,F,59,נב,נֹב,2,,no
בירן,M,59,ברן,בְּרָן,1,,no
רזיה,F,59,רזה,רָזָה,7,,no
ליעם,F,57,לעם,לָעָם,51,לְעָם | לְעַם,no
נוח,M,57,נח,נֹחַ,41,,yes
רועה,M,57,רעה,רָעָה,128,רֹעֶה | רֹעֵה | רֹעָה,no
קליה,F,56,קלה,קֹלָהּ,1,קַלָּה,no
דותן,F,53,דתן,דָּתָן,5,,yes
שימעון,M,52,שמעון,שִׁמְעוֹן,36,,yes
צפיה,F,52,צפה,צִפָּה,7,צֹפֶה | צָפֹה | צַפֵּה,no
איילי,F,51,אילי,אֵילֵי,4,,no
ניתן,M,50,נתן,נָתַן,185,נֹתֵן | נָתָן | נִתַּן,no
פיטר,M,50,פטר,פֶּטֶר,10,פָטַר,no
נובה,F,50,נבה,נֹבֶה,2,,no
ביאנה,F,49,באנה,בֹּאָנָה,2,,no
לויה,F,49,לוה,לֹוֶה,2,,no
מורית,F,49,מרית,מָרִיתָ,1,,no
ויוי,F,48,ווי,וָוֵי,6,,no
סלים,M,47,סלם,סֻלָּם,1,,no
רואי,F,45,ראי,רֹאִי,6,רְאִי | רֹאַי | רֳאִי,no
גון,F,45,גן,גַּן,6,,no
נעמית,F,45,נעמת,נָעַמְתָּ,1,נָעָמְתָּ | נָּעַמְתְּ,no
עיברי,M,44,עברי,עִבְרִי,8,עֹבְרֵי | עָבְרִי | עֲבֹרִי,no
אייבי,M,42,איבי,אֹיְבַי,16,אֹיְבִי | אֹיְבֵי | אֹיְבָי,no
אדירה,F,42,אדרה,אַדָּרָה,1,,no
לאיה,F,40,לאה,לֵאָה,28,,uncertain
ליילה,F,40,לילה,לַיְלָה,49,לָיְלָה,no
עטיה,F,40,עטה,עֹטֶה,2,עָטֹה,no
דון,F,39,דן,דָן,59,,uncertain
ליים,F,39,לים,לַיָּם,5,לְיַם,no
נהורי,M,39,נהרי,נַהֲרֵי,1,,no
דיין,M,35,דין,דִּין,14,,no
ניבר,F,34,נבר,נָבָר,2,,no
איתיי,M,33,איתי,אִיתַי,13,,yes
ליו,F,33,לו,לוֹ,1119,לוּ,no
טובאל,M,32,טבאל,טָבְאַל,1,טָבְאֵל,uncertain
קולין,F,32,קולן,קוֹלָן,2,,no
נרייה,M,31,נריה,נֵרִיָּה,7,,yes
נביעה,F,31,נבעה,נִבְעֶה,1,,no
פולט,F,31,פלט,פָּלֶט,2,פַלֵּט | פַּלֶּט,uncertain
נופך,F,30,נפך,נֹפֶךְ,3,,no
בנייה,M,21,בניה,בָּנֶיהָ,15,בְּנָיָה,no
אדור,M,19,אדר,אֲדָר,9,אַדָּר | אֶדֶר,no
תומא,M,19,תמא,תֵּמָא,1,,uncertain
מיאור,F,14,מאור,מֵאוּר,3,מָאוֹר | מְאוֹר | מֵאוֹר,no
רוגל,M,11,רגל,רֶגֶל,13,רָגֶל | רֹגֵל | רָגַל,no
בובי,M,10,בבי,בֵּבָי,5,בֵבַי,uncertain
מון,F,9,מן,מִן,692,מָן | מַן,no
ביריה,F,8,בריה,בִרְיָה,1,,no
עשורה,F,5,עשרה,עֶשְׂרֵה,134,עֲשָׂרָה | עַשְׂרָה,no
