name,sex,bearers,VOCALIZED,notes
ליליאן,F,413,,
לונה,F,410,,
הראל,F,409,,
לורין,F,408,,
מגי,F,408,,
זיסל,F,405,,
טמיר,M,403,,
ליאנה,F,403,,
רווית,F,399,,
טלאור,F,398,,
מיילי,F,398,,
ענאל,F,389,,
מייק,M,388,,
גונן,M,383,,
דוריה,F,383,,
גיתית,F,376,,
ליזי,F,373,,
רביטל,F,373,,
לידיה,F,369,,
קלמן,M,365,,
אילעי,M,364,,
אדית,F,362,,
רוברט,M,356,,
טוני,F,355,,
אוולין,F,354,,
רלי,F,353,,
פרומט,F,344,,
אליאנה,F,340,,
סטפני,F,338,,
הילית,F,336,,
קארן,F,336,,
מילנה,F,335,,
מכלוף,M,330,,
בת ציון,F,330,,
הלני,F,329,,
דרורית,F,327,,
פרל,F,324,,
אניטה,F,322,,
עטל,F,320,,
ניקיטה,M,318,,
נופית,F,318,,
היילי,F,316,,
פרלה,F,314,,
ברקת,F,312,,
רגינה,F,309,,
ג'ני,F,308,,
בן-ציון,M,307,,
קוראל,F,305,,
אבלין,F,304,,
נצחיה,F,304,,
אטי,F,303,,
אנאבל,F,303,,
מורין,F,303,,
שמריהו,M,299,,
סאלי,F,297,,
אנט,F,295,,
אלטר,M,292,,
צאלה,F,292,,
אלישי,M,291,,
אלקה,F,290,,
קרינה,F,290,,
שאנל,F,290,,
לי-אור,F,287,,
חפציבה,F,287,,
לורי,F,287,,
אלירז,F,286,,
רחלה,F,283,,
ריטה,F,283,,
שיינה,F,281,,
תמרי,F,280,,
אליחי,M,279,,
סלומון,M,279,,
דוריס,F,279,,
מנדל,M,276,,
אליאור,F,274,,
סעדיה,M,273,,
בריינדל,F,273,,
אליאס,M,271,,
אילעאי,M,270,,
סטיבן,M,269,,
נרקיס,F,269,,
אידית,F,269,,
לינה,F,269,,
סמואל,M,268,,
אסיה,F,265,,
יוליה,F,264,,
לאו,M,263,,
קרולין,F,263,,
ריי,F,262,,
סברינה,F,262,,
אוליביה,F,261,,
אופרי,F,260,,
פרדי,M,259,,
פלורה,F,256,,
אוריאנה,F,255,,
מירן,F,254,,
דיצה,F,253,,
מטילדה,F,253,,
אנסטסיה,F,251,,
הלנה,F,249,,
שינדל,F,249,,
ג'ולי,F,247,,
ג'וליה,F,247,,
רנית,F,247,,
הלית,F,246,,
לירם,M,245,,
יהלום,F,245,,
אלרן,M,244,,
הני,F,244,,
מלכיאל,M,242,,
ג'סיקה,F,242,,
זהרה,F,241,,
עלקא,F,238,,
ריזל,F,238,,
עמיעד,M,235,,
אדוארד,M,234,,
רייזי,F,233,,
מלאני,F,232,,
אריקה,F,230,,
עטיל,F,230,,
אלרום,M,229,,
כדורי,M,229,,
ורוניקה,F,224,,
זלדה,F,224,,
שיר אל,F,223,,
פליקס,M,222,,
צפרירה,F,220,,
אריאנה,F,218,,
ולריה,F,217,,
אנבל,F,216,,
ליסה,F,216,,
גלילה,F,215,,
לביאה,F,215,,
פנינית,F,215,,
איטא,F,214,,
נטעלי,F,212,,
יחיעם,M,210,,
דבי,F,210,,
סלין,F,209,,
ענתי,F,209,,
שמוליק,M,208,,
שקמה,F,207,,
ויויאן,F,205,,
מיקי,F,204,,
מטי,F,204,,
סנדי,F,204,,
הינדל,F,203,,
לטם,F,203,,
רפאלה,F,202,,
אלרוי,M,201,,
אילאיל,F,201,,
מיראל,F,201,,
תימור,F,199,,
אמבר,F,199,,
שמאי,M,198,,
ברטה,F,197,,
סטיב,M,196,,
טלילה,F,196,,
מאטיל,F,196,,
איילין,F,195,,
אשד,M,194,,
אטל,F,194,,
איבון,F,194,,
כוכבית,F,194,,
עטי,F,194,,
יענטא,F,193,,
לוסי,F,193,,
מורל,F,192,,
ניק,M,190,,
נטע-לי,F,190,,
ארתור,M,189,,
לאורה,F,189,,
סלעית,F,189,,
מכאל,M,186,,
שנאל,F,186,,
ריין,F,183,,
דולי,F,182,,
אלירם,M,181,,
אדיב,M,178,,
מינדי,F,178,,
רעכל,F,178,,
שיינדי,F,178,,
אידל,F,177,,
יהודא,M,175,,
דיה,F,175,,
מדלן,F,175,,
זקלין,F,174,,
יוכי,F,174,,
גתית,F,172,,
יפעה,F,171,,
מוניקה,F,171,,
אולגה,F,169,,
רשל,F,169,,
ג'קי,M,168,,
זיוית,F,168,,
מריאל,F,168,,
דורה,F,167,,
נטאלי,F,167,,
סבינה,F,166,,
נאורה,F,165,,
אורלית,F,164,,
קמילה,F,164,,
רויזא,F,163,,
גרציה,F,162,,
טדי,M,159,,
לורה,F,159,,
נדין,F,156,,
בוריס,M,155,,
עצמון,M,155,,
ערגה,F,155,,
נירן,M,154,,
מליסה,F,154,,
רעכיל,F,154,,
פייגל,F,153,,
אחיעד,M,152,,
שלומציון,F,152,,
פעסיל,F,151,,
איטל,F,150,,
קיילא,F,150,,
נינט,F,149,,
ביילה,F,148,,
ניבי,F,148,,
פורטונה,F,148,,
שטרנא,F,148,,
אנטוני,M,147,,
היא-לי,F,147,,
מושית,F,147,,
גאלדא,F,146,,
דפני,F,146,,
תיאה,F,146,,
כתריאל,M,145,,
פיליפ,M,145,,
מוראל,F,145,,
הנרי,M,144,,
רימונה,F,144,,
סימן,M,143,,
מילאן,F,143,,
מוניק,F,143,,
שיינדיל,F,143,,
עלאי,M,142,,
פרוספר,M,142,,
נוייה,F,141,,
אדריאן,M,140,,
מלודי,F,140,,
אלמז,F,139,,
ג'וי,F,139,,
אברי,M,138,,
מורג,F,138,,
רפאל,F,135,,
סטלה,F,135,,
דנאל,M,134,,
עטר,F,134,,
אליזה,F,134,,
פיגה,F,134,,
דייויד,M,133,,
יחיא,M,133,,
אדלה,F,133,,
כנה,F,133,,
ליזט,F,133,,
סיניה,F,133,,
שחרי,F,133,,
אנדי,M,132,,
קרולינה,F,132,,
יה-לי,F,131,,
ז'קלין,F,131,,
קילא,F,130,,
אפריל,F,128,,
ג'ניפר,F,128,,
רוניה,F,128,,
שאשא,F,128,,
סילבי,F,127,,
פולינה,F,127,,
דניס,F,126,,
אלדן,M,126,,
מנדי,M,126,,
שיר-אל,F,126,,
לי-שי,F,125,,
אודט,F,125,,
ארנונה,F,125,,
ג'נט,F,125,,
טום,F,124,,
אדמונד,M,124,,
לימאי,F,124,,
פליאה,F,124,,
פעריל,F,124,,
פטריק,M,123,,
אופאל,F,123,,
סביון,F,123,,
פריידה,F,123,,
שיקמה,F,123,,
יורי,M,122,,
ורה,F,122,,
ליפא,M,121,,
שיילי,F,121,,
אוראן,M,119,,
סיאל,F,119,,
גניה,F,119,,
סלמן,M,118,,
פריידי,F,118,,
קארינה,F,118,,
דוראל,F,117,,
אלירון,M,117,,
לי-ים,F,117,,
אילור,F,117,,
אליז,F,117,,
סתוית,F,116,,
חיותה,F,115,,
טילא,F,115,,
מרגנית,F,115,,
סאני,F,114,,
חגאי,M,114,,
טים,M,114,,
סוזנה,F,114,,
עטקא,F,114,,
ולרי,F,113,,
אתל,F,113,,
בריינא,F,113,,
ניצנה,F,113,,
נסלי,F,113,,
נתי,F,112,,
אור אל,F,112,,
קטיה,F,112,,
קיילה,F,112,,
קלודין,F,112,,
שונטל,F,112,,
ונסה,F,111,,
טויבע,F,111,,
פסי,F,111,,
רייזא,F,111,,
זליג,M,110,,
אודאל,F,110,,
דבורית,F,110,,
לחן,F,110,,
קתרין,F,110,,
ניקולס,M,109,,
בהירה,F,109,,
לירית,F,109,,
אוליבר,M,108,,
קיילי,F,108,,
בן-אל,M,107,,
ויצמן,M,107,,
דייזי,F,107,,
טניה,F,107,,
מרינה,F,107,,
ארטיום,M,106,,
יקי,M,106,,
תיאו,M,106,,
הענדל,F,106,,
העניא,F,106,,
לואיזה,F,106,,
סימון,F,105,,
סיימון,M,105,,
ראיין,M,105,,
יאירה,F,105,,
ג'ונתן,M,104,,
נואל,F,104,,
הנדל,F,104,,
קאי,F,103,,
אריאן,F,103,,
אלטא,F,103,,
לנה,F,103,,
ציפא,F,103,,
בנאל,M,102,,
אלגרה,F,102,,
מרין,F,102,,
אור-אל,F,101,,
אבידור,M,101,,
בתשבע,F,101,,
שרלי,F,100,,
לוקה,M,100,,
איזבלה,F,100,,
רוזית,F,100,,
יעלת חן,F,99,,
מיא,F,99,,
עמיצור,M,98,,
וקטוריה,F,98,,
מתילדה,F,98,,
אליק,M,97,,
טינה,F,97,,
דוריאן,F,96,,
אלידור,M,96,,
טגסט,F,96,,
לי אל,F,96,,
ליחן,F,96,,
פולי,F,96,,
פעשא,F,96,,
מייטל,F,95,,
פעסל,F,95,,
אשלי,F,94,,
זהורית,F,94,,
ג'ורג',M,93,,
יעד,M,93,,
נטליה,F,93,,
אור-לי,F,92,,
אלנה,F,92,,
מריאנה,F,92,,
קריסטינה,F,92,,
תאי,F,91,,
שי-אל,F,91,,
צביאל,M,91,,
אליסיה,F,91,,
הלליה,F,91,,
לולו,F,91,,
מסעודה,F,91,,
תיקי,F,91,,
אתגר,M,90,,
לי-אל,F,90,,
פיבי,F,90,,
בנג'מין,M,89,,
דרורי,M,89,,
רנאל,M,89,,
עילאי,F,88,,
דומיניק,M,88,,
סולומון,M,88,,
ללי,F,88,,
רונאל,F,87,,
אליהב,M,87,,
אליעז,M,87,,
בנציון,M,87,,
ריקל,F,87,,
יוסף-חיים,M,86,,
סלמון,M,86,,
לי-יה,F,86,,
סטערנא,F,86,,
סי,F,86,,
אלדור,M,85,,
ג'וני,M,85,,
קלואי,F,85,,
רוויטל,F,85,,
אסי,F,84,,
אייזיק,M,84,,
ג'ודי,F,84,,
זוהרית,F,84,,
יהלומה,F,84,,
רייצא,F,84,,
טומי,F,83,,
הרצליה,F,83,,
דובי,M,82,,
עדאל,F,82,,
אנטון,M,81,,
דובער,M,81,,
סטפן,M,81,,
מיקאלה,F,81,,
שנטל,F,81,,
רוי,F,80,,
טימור,F,80,,
אורעד,M,80,,
אלרם,M,80,,
באשע,F,80,,
מאטל,F,80,,
עמנואלה,F,80,,
בנצי,M,79,,
טמסגן,M,79,,
סאם,M,79,,
בלן,F,79,,
טאיה,F,79,,
לואיז,F,79,,
קרן-אור,F,78,,
אלדר,F,77,,
איידן,M,77,,
אור-יה,F,77,,
ביאטריס,F,77,,
לי שי,F,77,,
מרלן,F,77,,
סלביה,F,77,,
צחית,F,77,,
רוזט,F,77,,
אדמון,M,76,,
בת-ציון,F,76,,
יהלה,F,76,,
כוכי,F,76,,
פולה,F,76,,
קלריס,F,76,,
אליאסף,M,75,,
ברקאי,M,75,,
אנג'ליקה,F,75,,
מרגריטה,F,75,,
סולטנה,F,75,,
מורדי,M,74,,
קווין,M,74,,
מילן,F,74,,
ארינה,F,74,,
יואלה,F,74,,
אורלין,F,73,,
דיאן,F,73,,
הילני,F,73,,
מאלי,F,73,,
פריידל,F,73,,
ג'ק,M,72,,
חוני,M,72,,
אנג'לה,F,72,,
ננסי,F,72,,
צלילה,F,72,,
ניל,F,71,,
אוריון,M,71,,
אלארי,M,71,,
אלרון,M,71,,
דעאל,M,71,,
חנינא,M,71,,
אהרונה,F,71,,
אשרית,F,71,,
ילי,F,71,,
מלני,F,71,,
רייצ'ל,F,71,,
גילאור,M,70,,
דייב,M,70,,
אורליה,F,70,,
ג'ולייט,F,70,,
ג'קלין,F,70,,
זעלדא,F,70,,
רוזלין,F,70,,
רייזיל,F,70,,
תאיה,F,70,,
רובין,F,69,,
איטן,M,69,,
אדלינה,F,69,,
אנני,F,69,,
יולנדה,F,69,,
לירוז,F,69,,
לליב,F,69,,
פאולה,F,69,,
קרול,F,69,,
תמירה,F,69,,
מרטין,F,68,,
טאי,F,68,,
אנדרי,M,68,,
מתיא,M,68,,
ארנית,F,68,,
יודפת,F,68,,
לולה,F,68,,
מרצדס,F,68,,
סשה,F,68,,
מייקי,M,67,,
לארה,F,67,,
לוריאן,F,67,,
יאלי,F,66,,
אלראי,M,65,,
גינה,F,65,,
הינדי,F,65,,
ז'נט,F,65,,
מרסדס,F,65,,
דמיטרי,M,64,,
שיין,F,64,,
אימבר,F,64,,
טירנה,F,64,,
לירוי,F,63,,
בר אל,M,63,,
יונס,M,63,,
לוקאס,M,63,,
צבר,M,63,,
קלוד,M,63,,
רונלד,M,63,,
ירונה,F,63,,
נל,F,63,,
ראדא,F,63,,
רימונד,F,63,,
יאן,F,62,,
מירון,F,62,,
יוהד,M,62,,
לייב,M,62,,
מושיק,M,62,,
אורייאן,F,62,,
אלכסה,F,62,,
הלי,F,62,,
הענטשא,F,62,,
עימנואל,F,62,,
תמוז,F,62,,
ולדימיר,M,61,,
זושא,M,61,,
עתיר,M,61,,
שמחוני,M,61,,
טבע,F,61,,
אלגריה,F,61,,
בריינדי,F,61,,
גפנית,F,61,,
ירוס,F,61,,
ליקה,F,61,,
שריתה,F,61,,
גלאור,F,60,,
ז'ק,M,60,,
קיריל,M,60,,
טיגיסט,F,60,,
עומרית,F,60,,
אושיק,M,59,,
מרסלה,F,59,,
נעכא,F,59,,
בר-אל,M,58,,
יהוסף,M,58,,
רויאל,F,58,,
אלזה,F,58,,
אלני,F,58,,
סינדי,F,58,,
עזיזה,F,58,,
קאמי,F,58,,
אדגר,M,57,,
אל-חי,M,57,,
אגת,F,57,,
זאבה,F,57,,
לאנה,F,57,,
מקדס,F,57,,
רינתיה,F,57,,
ריצ'רד,M,56,,
באשא,F,56,,
ויולה,F,56,,
כחל,F,56,,
נואית,F,56,,
דילן,F,55,,
שראל,F,55,,
אליאם,M,54,,
זקי,M,54,,
בת אור,F,54,,
זנט,F,54,,
סילבנה,F,54,,
פראדי,F,54,,
צפרא,F,54,,
אדליה,F,53,,
אדריאנה,F,53,,
מי-טל,F,53,,
מרלין,F,53,,
שי-יה,F,53,,
ניראל,F,52,,
אור-חיים,M,52,,
יינון,M,52,,
לי-און,M,52,,
מתאו,M,52,,
עציון,M,52,,
אליזבטה,F,52,,
אלנית,F,52,,
דאנה,F,52,,
נאדין,F,52,,
נלה,F,52,,
עתר,F,52,,
פלורית,F,52,,
שריאל,F,51,,
ג'ון,F,51,,
ברנרד,M,51,,
זק,M,51,,
אור חן,F,51,,
סנאית,F,51,,
קטרינה,F,51,,
אשחר,F,50,,
אלעי,M,50,,
טנא,F,50,,
ניסל,F,50,,
ניצנית,F,50,,
שילב,F,50,,
נאטלי,F,49,,
אלאורי,M,48,,
ז'קי,M,48,,
גוטא,F,48,,
חיננית,F,48,,
ג'ושוע,M,47,,
עמרן,M,47,,
צ'רלי,M,47,,
וידה,F,47,,
מאילי,F,47,,
סילויה,F,47,,
קימברלי,F,47,,
ג'וליאן,M,46,,
לואי,M,46,,
אלמוגית,F,46,,
היווט,F,46,,
ריאן,F,45,,
עמישב,M,45,,
לוסיה,F,45,,
לי-היא,F,45,,
רמונה,F,45,,
שרונית,F,45,,
אנדריי,M,44,,
גורגי,M,44,,
ניאו,M,44,,
אוולינה,F,44,,
טטיאנה,F,44,,
ינית,F,44,,
נצנת,F,44,,
בונם,M,43,,
אנהאל,F,43,,
מסרט,F,43,,
פעסי,F,43,,
שירל,F,43,,
אברהם-אבי,M,42,,
לאונרדו,M,42,,
מתן-אל,M,42,,
פטל,F,42,,
קלקידן,F,42,,
רוחלה,F,42,,
אלכסיי,M,41,,
זונדל,M,41,,
יוליאן,M,41,,
יצחק-צחי,M,41,,
ריילי,F,41,,
אנגלינה,F,41,,
בריג'יט,F,41,,
דוריאל,F,41,,
היוט,F,41,,
ולדיסלב,M,40,,
סרגיי,M,40,,
שייקה,M,40,,
היידי,F,40,,
כוכבא,F,40,,
מוסיא,F,40,,
יבגני,M,39,,
תיאודור,M,39,,
סיגי,F,39,,
שפרינצה,F,39,,
ינאי,F,38,,
לוריא,F,38,,
אליוט,M,38,,
ויטוריו,M,38,,
מיילו,M,38,,
סנדר,M,38,,
אור-טל,F,38,,
גרייס,F,38,,
סיטאר,F,38,,
אלרז,M,37,,
יאסו,M,37,,
שפריר,M,37,,
אדלין,F,37,,
אוניל,F,37,,
אנג'לינה,F,37,,
טאבא,F,37,,
לור,F,37,,
שרלין,F,37,,
ריו,F,36,,
לאונרד,M,36,,
אתאל,F,36,,
קסניה,F,36,,
תאל,F,36,,
היליי,F,35,,
יעקב-קובי,M,35,,
צחי-יצחק,M,35,,
אריא,F,35,,
בלימי,F,35,,
לריאן,F,35,,
נצחונה,F,35,,
תאה,F,35,,
מנואל,F,34,,
ניגון,M,34,,
כריסטינה,F,34,,
מאשא,F,34,,
עתאי,M,33,,
צהל,M,33,,
נגסט,F,33,,
סייפן,F,33,,
קוטי,F,33,,
אלבי,F,32,,
יחיאב,M,32,,
זמר,F,32,,
טיה,F,32,,
הילאי,F,31,,
אבידע,M,31,,
רוסלן,M,31,,
רייאן,M,31,,
טיראנה,F,31,,
מלנה,F,31,,
נרדית,F,31,,
סמירה,F,31,,
אסף-יוסף,M,30,,
דניל,M,30,,
כרמלית,F,30,,
אבי-אברהם,M,29,,
אלירוי,M,29,,
אורינה,F,29,,
מקסימה,F,29,,
חופי,M,28,,
לוקא,M,28,,
שלומיק,M,28,,
הודאל,F,28,,
אורלב,F,27,,
עילאיי,M,27,,
שי-שלום,M,27,,
אלונית,F,27,,
גרנית,F,27,,
טגסת,F,27,,
מאי-לי,F,27,,
נענא,F,27,,
קיארה,F,27,,
שנל,F,27,,
מרדכי-מוטי,M,26,,
שמעון-שי,M,26,,
מריאור,F,26,,
תהלי,F,26,,
אילאיי,M,25,,
אלדנה,F,25,,
נויאל,F,25,,
קאטי,F,25,,
סטאר,F,24,,
צוקית,F,24,,
ניקו,F,23,,
אתמר,M,23,,
ג'יימי,M,23,,
גריגורי,M,23,,
יוסף-יצחק,M,23,,
ליאת-לאה,F,23,,
אושן,M,22,,
רבין,M,22,,
אסתר-אתי,F,22,,
סלאם,F,22,,
מוטי-מרדכי,M,21,,
דימונה,F,21,,
רייני,F,21,,
טירן,F,20,,
פעסיא,F,20,,
אהרון-רוני,M,19,,
מתיאו,M,19,,
שרה-שרית,F,19,,
לאיו,M,17,,
אדוורד,M,16,,
ירושלמית,F,16,,
לאה-ליאת,F,16,,
ניצחיה,F,16,,
רחמים-רמי,M,15,,
טירנית,F,15,,
לואן,F,15,,
נרדוס,F,15,,
פקר,F,15,,
טיראן,F,14,,
יהושע-שי,M,14,,
שי-שמואל,M,14,,
ריבר,M,13,,
אלה-לי,F,13,,
שמואל-שי,M,12,,
נצחון,M,10,,
שי-יהושע,M,9,,
יניב-משה,M,8,,
