priority,list,name,bearers,proposed,agent_said,alternatives,YOUR_CALL
2,tanach-ambiguous,אתי,4640,אִתַּי,override (auto-pick was אֹתִי),אִתִּי(51) | אִתַּי(8),
2,needs-nikud,אלינור,4513,אֱלִינוֹר,ambiguous: Hebrew אֱלִינוֹר vs foreign Eleanor אֵלִינוֹר,,
2,tanach-ambiguous,בניה,4100,בְּנָיָה,override (auto-pick was בָּנֶיהָ),בְּנָיָה(8),
2,needs-nikud,אודליה,4096,אוֹדֶלְיָה,uncertain: modern coinage; also אוֹדְלִיָּה,,
2,needs-nikud,פיגא,4020,פֵיגֶא,ambiguous: Yiddish Feyge — written פֵיגֶא / פֵיגָא / פֵּיגֶא in Hebrew documents,,
2,needs-nikud,קורל,3813,קוֹרַל,uncertain: foreign (Coral); also קוֹרָל,,
2,needs-nikud,קארין,3803,קָארִין,uncertain: foreign (Karin); nikud on א is conventional only,,
2,needs-nikud,הילי,3320,הִילִי,uncertain: modern coinage; also הִלִּי under defective spelling,,
2,needs-nikud,אודל,3279,אוֹדֶל,ambiguous: Yiddish Udl/Odl — אוּדֶל / אוֹדֶל,,
2,needs-nikud,ליהיא,3151,לִיהִיא,"uncertain: modern coinage, unusual final א",,
2,needs-nikud,אוריאן,3047,אוֹרִיאָן,uncertain: modern coinage; also אוֹרִיאַן,,
2,needs-nikud,ניקול,3046,נִיקוֹל,"uncertain: foreign (Nicole), no fixed nikud norm",,
2,needs-nikud,אלמה,2985,אַלְמָה,"ambiguous: Hebrew variant of עַלְמָה pointed אַלְמָה, or Latin Alma אָלְמָה",,
2,needs-nikud,אושרת,2877,אוּשְׁרַת,uncertain: also pointed אוֹשְׁרַת; underlying noun is אֹשֶׁר,,
2,needs-nikud,צחי,2705,צַחִי,uncertain: hypocoristic (of יצחק); also צָחִי,,
2,needs-nikud,אנאל,2609,אַנָּאֵל,uncertain: modern coinage; also אֲנָאֵל,,
2,needs-nikud,יולי,2387,יוּלִי,ambiguous: יוּלִי (Yuli/July) / יוֹלִי,,
2,needs-nikud,סגלית,2245,סִגָּלִית,uncertain: defective spelling; plene form is סִיגָלִית,,
2,tanach-ambiguous,בני,2057,בָּנִי,override (auto-pick was בְּנֵי),בְּנִי(101) | בָּנַי(12) | בָּנִי(11) | בָּנָי(3),
2,needs-nikud,דריה,2042,דַּרְיָה,uncertain: foreign (Daria); also דָּרִיָּה,,
2,needs-nikud,ליאו,1935,לֵיאוֹ,uncertain: foreign (Leo); also לִיאוֹ,,
2,tanach-ambiguous,שרי,1883,שָׂרַי,override (auto-pick was שָׂרֵי),שָׂרַי(14) | שָׂרָי(4),
2,needs-nikud,לורן,1872,לוֹרֶן,uncertain: foreign (Lauren/Loren); also לוֹרַן,,
2,needs-nikud,אליאן,1866,אֶלִיאָן,uncertain: modern coinage/foreign; also אֱלִיאָן,,
2,needs-nikud,אלכסנדר,1682,אֲלֶכְּסַנְדֶּר,uncertain: conventional pointing only; also אַלֶכְּסַנְדֶּר,,
2,needs-nikud,פרידה,1617,פְרִידָה,ambiguous: Yiddish Frida — פְרִידָה / פְרֵידָה,,
2,needs-nikud,הינדא,1599,הִינְדָא,uncertain: Yiddish Hinde; Hebrew documents also write הִינְדֶא,,
2,needs-nikud,לני,1588,לֶנִי,uncertain: foreign (Leni/Lenny); no fixed norm,,
2,needs-nikud,ענהאל,1518,עִנְהָאֵל,"uncertain: recent coinage, no settled vocalization",,
2,needs-nikud,שיינא,1513,שֵׁיינָא,ambiguous: Yiddish Sheyne — שֵׁיינָא / שֵׁינָא / שֵׁיינֶא,,
2,tanach-ambiguous,אלי,1479,אֵלִי,override (auto-pick was אֵלַי),אֵלָי(80) | אֵלִי(12) | אֱלֵי(4) | אֻלַי(1),
2,needs-nikud,אליס,1400,אָלִיס,uncertain: foreign (Alice); also אֶלִיס,,
2,needs-nikud,ויקטוריה,1310,וִיקְטוֹרְיָה,uncertain: foreign; conventional pointing only,,
2,needs-nikud,מתנאל,1265,מַתַּנְאֵל,uncertain: variant spelling of נְתַנְאֵל; also מַתְנְאֵל,,
2,needs-nikud,שיינדל,1204,שֵׁיינְדֶל,ambiguous: Yiddish Sheyndl — שֵׁיינְדֶל / שֵׁינְדֶל,,
2,needs-nikud,רייזל,1201,רֵייזֶל,ambiguous: Yiddish Reyzl — רֵייזֶל / רֵיזֶל,,
2,needs-nikud,ליז,1155,לִיז,uncertain: foreign (Liz),,
2,needs-nikud,דיאנה,1112,דִּיאָנָה,uncertain: foreign (Diana); conventional pointing only,,
2,needs-nikud,זואי,1066,זוֹאִי,uncertain: foreign (Zoe); no fixed norm,,
2,needs-nikud,עירן,1052,עִירָן,uncertain: variant spelling of ערן; also עֵירָן,,
2,needs-nikud,יוטא,1041,יוּטָא,uncertain: Yiddish Yuta/Yutte; also יוּטֶא,,
2,needs-nikud,אמיליה,1038,אֶמִילְיָה,uncertain: foreign (Emilia); conventional pointing only,,
2,needs-nikud,פערל,1025,פֶּערְל,ambiguous: Yiddish Perl — Hebrew documents write פֶּערְל / פֶּרְל,,
2,needs-nikud,לייה,966,לֵייָה,uncertain: variant spelling of לֵאָה; vocalization of the doubled י is unsettled,,
2,needs-nikud,איימי,964,אֵיימִי,uncertain: foreign (Amy); no fixed norm,,
2,needs-nikud,ויקי,910,וִיקִי,uncertain: foreign (Vicky),,
2,needs-nikud,פסיה,809,פֶּסְיָה,ambiguous: Yiddish Pesye — פֶּסְיָה / פֶּסְיָא / פֵּיסִיָּה,,
2,needs-nikud,מרק,806,מַרְק,uncertain: foreign (Mark/Marc),,
2,needs-nikud,אלכס,789,אָלֶכְּס,uncertain: foreign (Alex); also אַלֶכְּס,,
2,needs-nikud,נאיה,724,נָאיָה,uncertain: modern coinage; also נַאיָה / נָאיָּה,,
2,needs-nikud,קורין,724,קוֹרִין,uncertain: foreign (Corinne/Koren),,
2,needs-nikud,אליזבט,715,אֱלִיזָבֶּט,uncertain: foreign (Elizabeth); conventional pointing only,,
2,needs-nikud,בטי,715,בֶּטִי,uncertain: foreign (Betty),,
2,needs-nikud,קטי,714,קֵטִי,uncertain: foreign (Katie/Kathy); also קָטִי,,
2,tanach-ambiguous,עלי,260,עֵלִי,override (auto-pick was עָלַי),עֲלֵי(39) | עָלָי(33) | עֵלִי(27) | עֲלִי(6),
2,tanach-ambiguous,צפנת,219,צָפְנַת,override (auto-pick was צָפַנְתָּ),צָפְנַת(1),
2,tanach-ambiguous,דברת,184,דִּבְרַת,override (auto-pick was דִּבַּרְתָּ),דִּבְרַת(5) | דָּבְרַת(2) | דֹּבְרֹת(1),
2,tanach-ambiguous,יפת,155,יֶפֶת,override (auto-pick was יְפַת),יֶפֶת(3) | יָפֶת(2) | יַפְתְּ(1) | יְפֹת(1),
2,tanach-ambiguous,מלכי,102,מַלְכִּי,override (auto-pick was מַלְכֵי),מַלְכִּי(12) | מָלְכִי(1) | מִלְכִּי(1),
2,tanach-ambiguous,בתי,71,בִּתִּי,override (auto-pick was בָּתֵּי),בִּתִּי(15),
2,tanach-ambiguous,אמרי,63,אִמְרִי,override (auto-pick was אִמְרֵי),אִמְרִי(8) | אֲמָרָי(4) | אֱמֹרִי(2) | אָמְרִי(2),
2,tanach-ambiguous,אחי,59,אָחִי,override (auto-pick was אֲחִי),אָחִי(25) | אֲחֵי(16) | אַחַי(15) | אֶחָי(2),
2,tanach-ambiguous,ברכי,16,בִּרְכַּי,override (auto-pick was בָּרֲכִי),בִּרְכַּי(4) | בִּרְכֵּי(1),
